date,gdp,gdi
1/1/1947,243.164,240.092
4/1/1947,245.968,243.209
7/1/1947,249.585,247.579
10/1/1947,259.745,256.122
1/1/1948,265.742,265.072
4/1/1948,272.567,273.654
7/1/1948,279.196,278.94
10/1/1948,280.366,281.223
1/1/1949,275.034,274.181
4/1/1949,271.351,270.663
7/1/1949,272.889,270.864
10/1/1949,270.627,267.232
1/1/1950,280.828,277.506
4/1/1950,290.383,289.933
7/1/1950,308.153,307.523
10/1/1950,319.945,319.296
1/1/1951,336,332.534
4/1/1951,344.09,340.65
7/1/1951,351.385,346.823
10/1/1951,356.178,353.872
1/1/1952,359.82,356.053
4/1/1952,361.03,358.604
7/1/1952,367.701,365.997
10/1/1952,380.812,378.271
1/1/1953,387.98,385.073
4/1/1953,391.749,388.516
7/1/1953,391.171,387.601
10/1/1953,385.97,380.525
1/1/1954,385.345,382.556
4/1/1954,386.121,383.599
7/1/1954,390.996,387.55
10/1/1954,399.734,396.846
1/1/1955,413.073,409.644
4/1/1955,421.532,419.737
7/1/1955,430.221,428.226
10/1/1955,437.092,435.769
1/1/1956,439.746,440.533
4/1/1956,446.01,447.677
7/1/1956,451.191,453.772
10/1/1956,460.463,463.555
1/1/1957,469.779,471.077
4/1/1957,472.025,473.964
7/1/1957,479.49,478.835
10/1/1957,474.864,473.7
1/1/1958,467.54,468.147
4/1/1958,471.978,470.91
7/1/1958,485.841,484.818
10/1/1958,499.555,498.444
1/1/1959,510.33,510.148
4/1/1959,522.653,524.881
7/1/1959,525.034,522.573
10/1/1959,528.6,528.21
1/1/1960,542.648,542.123
4/1/1960,541.08,543.395
7/1/1960,545.604,545.289
10/1/1960,540.197,543.937
1/1/1961,545.018,546.221
4/1/1961,555.545,556.72
7/1/1961,567.664,567.148
10/1/1961,580.612,582.407
1/1/1962,594.013,592.505
4/1/1962,600.366,600.073
7/1/1962,609.027,607.426
10/1/1962,612.28,615.801
1/1/1963,621.672,623.852
4/1/1963,629.752,634.045
7/1/1963,644.444,643.452
10/1/1963,653.938,654.311
1/1/1964,669.822,667.298
4/1/1964,678.674,678.727
7/1/1964,692.031,691.099
10/1/1964,697.319,700.907
1/1/1965,717.79,720.153
4/1/1965,730.191,732.682
7/1/1965,749.323,745.904
10/1/1965,771.857,767.461
1/1/1966,795.734,789.33
4/1/1966,804.981,801.087
7/1/1966,819.638,814.397
10/1/1966,833.302,828.504
1/1/1967,844.17,836.797
4/1/1967,848.983,845.68
7/1/1967,865.233,862.762
10/1/1967,881.439,881.144
1/1/1968,909.387,904.131
4/1/1968,934.344,927.464
7/1/1968,950.825,949.278
10/1/1968,968.03,969.186
1/1/1969,993.337,988.736
4/1/1969,1009.02,1007.398
7/1/1969,1029.956,1028.459
10/1/1969,1038.147,1039.539
1/1/1970,1051.2,1047.063
4/1/1970,1067.375,1061.858
7/1/1970,1086.059,1079.478
10/1/1970,1088.608,1083.461
1/1/1971,1135.156,1121.846
4/1/1971,1156.271,1143.993
7/1/1971,1177.675,1165.45
10/1/1971,1190.297,1190.034
1/1/1972,1230.609,1225.633
4/1/1972,1266.369,1249.074
7/1/1972,1290.566,1281.68
10/1/1972,1328.904,1331.427
1/1/1973,1377.49,1370.819
4/1/1973,1413.887,1399.51
7/1/1973,1433.838,1431.358
10/1/1973,1476.289,1475.233
1/1/1974,1491.209,1491.147
4/1/1974,1530.056,1520.366
7/1/1974,1560.026,1556.457
10/1/1974,1599.679,1583.155
1/1/1975,1616.116,1600.723
4/1/1975,1651.853,1637.971
7/1/1975,1709.82,1700.815
10/1/1975,1761.831,1746.705
1/1/1976,1820.487,1801.802
4/1/1976,1852.332,1831.401
7/1/1976,1886.558,1869.194
10/1/1976,1934.273,1908.64
1/1/1977,1988.648,1960.906
4/1/1977,2055.909,2035.208
7/1/1977,2118.473,2097.868
10/1/1977,2164.27,2155.534
1/1/1978,2202.76,2199.97
4/1/1978,2331.633,2309.586
7/1/1978,2395.053,2365.857
10/1/1978,2476.949,2437.684
1/1/1979,2526.61,2501.699
4/1/1979,2591.247,2550.233
7/1/1979,2667.565,2609.155
10/1/1979,2723.883,2668.001
1/1/1980,2789.842,2721.73
4/1/1980,2797.352,2741.396
7/1/1980,2856.483,2823.711
10/1/1980,2985.557,2964.677
1/1/1981,3124.206,3064.614
4/1/1981,3162.532,3126.669
7/1/1981,3260.609,3231.198
10/1/1981,3280.818,3253.338
1/1/1982,3274.302,3272.026
4/1/1982,3331.972,3326.545
7/1/1982,3366.322,3360.628
10/1/1982,3402.561,3380.562
1/1/1983,3473.413,3442.689
4/1/1983,3578.848,3526.559
7/1/1983,3689.179,3613.443
10/1/1983,3794.706,3725.666
1/1/1984,3908.054,3866.052
4/1/1984,4009.601,3962.759
7/1/1984,4084.25,4040.168
10/1/1984,4148.551,4115.077
1/1/1985,4230.168,4191.093
4/1/1985,4294.887,4248.112
7/1/1985,4386.773,4325.546
10/1/1985,4444.094,4374.084
1/1/1986,4507.894,4439.28
4/1/1986,4545.34,4468.54
7/1/1986,4607.669,4515.027
10/1/1986,4657.627,4575.455
1/1/1987,4722.156,4652.187
4/1/1987,4806.16,4759.142
7/1/1987,4884.555,4864.953
10/1/1987,5007.994,4969.278
1/1/1988,5073.372,5068.055
4/1/1988,5190.036,5176.274
7/1/1988,5282.835,5285.53
10/1/1988,5399.509,5403.861
1/1/1989,5511.253,5493.644
4/1/1989,5612.463,5542.42
7/1/1989,5695.365,5606.037
10/1/1989,5747.237,5652.24
1/1/1990,5872.701,5767.812
4/1/1990,5960.028,5864.799
7/1/1990,6015.116,5910.743
10/1/1990,6004.733,5927.023
1/1/1991,6035.178,5972.649
4/1/1991,6126.862,6034.081
7/1/1991,6205.937,6098.155
10/1/1991,6264.54,6155.738
1/1/1992,6363.102,6284.521
4/1/1992,6470.763,6374.987
7/1/1992,6566.641,6426.443
10/1/1992,6680.803,6531.606
1/1/1993,6729.459,6545.416
4/1/1993,6808.939,6663.732
7/1/1993,6882.098,6716.772
10/1/1993,7013.738,6884.53
1/1/1994,7115.652,6955.743
4/1/1994,7246.931,7097.889
7/1/1994,7331.075,7204.883
10/1/1994,7455.288,7330.608
1/1/1995,7522.289,7401.194
4/1/1995,7580.997,7480.079
7/1/1995,7683.125,7609.555
10/1/1995,7772.586,7696.11
1/1/1996,7868.468,7819.355
4/1/1996,8032.84,7965.95
7/1/1996,8131.408,8065.739
10/1/1996,8259.771,8209.098
1/1/1997,8362.655,8349.259
4/1/1997,8518.825,8474.339
7/1/1997,8662.823,8647.179
10/1/1997,8765.907,8793.083
1/1/1998,8866.48,8897.873
4/1/1998,8969.699,9044.608
7/1/1998,9121.097,9207.889
10/1/1998,9293.991,9321.823
1/1/1999,9411.682,9482.101
4/1/1999,9526.21,9565.758
7/1/1999,9686.626,9696.092
10/1/1999,9900.169,9893.983
1/1/2000,10002.179,10156.746
4/1/2000,10247.72,10287.796
7/1/2000,10318.165,10440.599
10/1/2000,10435.744,10495.593
1/1/2001,10470.231,10684.269
4/1/2001,10599,10728.773
7/1/2001,10598.02,10711.357
10/1/2001,10660.465,10658.388
1/1/2002,10783.5,10824.06
4/1/2002,10887.46,10963.229
7/1/2002,10984.04,11046.858
10/1/2002,11061.433,11191.573
1/1/2003,11174.129,11241.416
4/1/2003,11312.766,11373.14
7/1/2003,11566.669,11560.896
10/1/2003,11772.234,11729.944
1/1/2004,11923.447,11913.1
4/1/2004,12112.815,12144.87
7/1/2004,12305.307,12371.219
10/1/2004,12527.214,12534.523
1/1/2005,12767.286,12744.42
4/1/2005,12922.656,12959.848
7/1/2005,13142.642,13176.877
10/1/2005,13324.204,13485.73
1/1/2006,13599.16,13791.702
4/1/2006,13753.424,13967.493
7/1/2006,13870.188,14119.139
10/1/2006,14039.56,14201.358
1/1/2007,14215.651,14335.65
4/1/2007,14402.082,14502.322
7/1/2007,14564.117,14456.701
10/1/2007,14715.058,14523.088
1/1/2008,14706.538,14568.263
4/1/2008,14865.701,14613.537
7/1/2008,14898.999,14705.292
10/1/2008,14608.208,14404.496
1/1/2009,14430.901,14155.36
4/1/2009,14381.236,14179.964
7/1/2009,14448.882,14253.168
10/1/2009,14651.248,14515.62
1/1/2010,14764.611,14638.941
4/1/2010,14980.193,14852.642
7/1/2010,15141.605,15124.057
10/1/2010,15309.471,15250.114
1/1/2011,15351.444,15344.277
4/1/2011,15557.535,15559.071
7/1/2011,15647.681,15689.701
10/1/2011,15842.267,15855.129
1/1/2012,16068.824,16289.502
4/1/2012,16207.13,16417.295
7/1/2012,16319.54,16378.221
10/1/2012,16420.386,16686.333
1/1/2013,16629.05,16743.134
4/1/2013,16699.551,16899.845
7/1/2013,16911.068,16989.794
10/1/2013,17133.114,17199.368
1/1/2014,17144.281,17359.097
4/1/2014,17462.703,17709.517
7/1/2014,17743.227,17993.233
10/1/2014,17852.54,18169.621
1/1/2015,17991.348,18274.536
4/1/2015,18193.707,18437.706
7/1/2015,18306.96,18514.556
10/1/2015,18332.079,18535.304
1/1/2016,18425.306,18629.877
4/1/2016,18611.617,18669.774
7/1/2016,18775.459,18835.662
10/1/2016,18968.041,19018.824
1/1/2017,19153.912,19271.818
4/1/2017,19322.92,19480.369
7/1/2017,19558.693,19673.578
10/1/2017,19882.965,19968.315
1/1/2018,20143.716,20276.368
4/1/2018,20492.492,20497.372
7/1/2018,20659.102,20823.81
10/1/2018,20813.325,21012.914
1/1/2019,21001.591,21195.627
4/1/2019,21289.268,21361.6
7/1/2019,21505.012,21481.866
10/1/2019,21694.458,21729.845
1/1/2020,21481.367,21755.875
4/1/2020,19477.444,19620.204
7/1/2020,21138.574,20908.535
10/1/2020,21477.597,21972.571
1/1/2021,22038.226,22547.899
4/1/2021,22740.959,23132.65
7/1/2021,23202.344,23833.203
10/1/2021,24002.815,24619.857
1/1/2022,24386.734,25223.141
4/1/2022,24882.878,25860.059
